cluster,year,observations,anomalous_observations,anomaly_rate,mean_anomaly_intensity,anomaly_rate_percentage
0,2020,16892,120,0.007103954534690978,0.6716014535852879,0.7103954534690978
0,2021,4548,83,0.018249780123131047,0.8003040643061784,1.8249780123131047
0,2022,3018,0,0.0,0.5473417581726675,0.0
0,2023,13489,99,0.007339313514715695,0.6461890994211333,0.7339313514715695
0,2024,16422,1,6.089392278650591e-05,0.5982684104645112,0.00608939227865059
0,2025,1095,0,0.0,0.3588854485507874,0.0
1,2021,18161,0,0.0,0.46459903750684595,0.0
1,2022,18172,0,0.0,0.4476200189220383,0.0
1,2023,5546,0,0.0,0.5190357124983581,0.0
1,2024,57,0,0.0,0.32944207995933933,0.0
1,2025,10899,0,0.0,0.3556393240030766,0.0
2,2020,27,0,0.0,0.36214575589543957,0.0
2,2021,11819,5,0.00042304763516371943,0.8208311556788677,0.04230476351637194
2,2022,11805,0,0.0,0.7481761963381366,0.0
2,2023,6892,0,0.0,0.8141743508195619,0.0
2,2024,32,0,0.0,0.5794017686815214,0.0
2,2025,7805,82,0.010506085842408712,0.7216858117102685,1.0506085842408712
3,2020,8847,4,0.00045213066576240535,1.0148202607440406,0.04521306657624054
3,2021,10109,103,0.010188940548026512,1.0148766427850664,1.0188940548026513
3,2022,1657,2,0.0012070006035003018,0.8914509989546939,0.12070006035003018
3,2023,17519,7,0.0003995661852845482,0.8129276732995859,0.03995661852845482
3,2024,161,0,0.0,0.7132766595008738,0.0
3,2025,49,0,0.0,0.7374517541484663,0.0
4,2020,2439,38,0.015580155801558016,1.1224111697208046,1.5580155801558015
4,2021,3217,49,0.015231582219459123,1.0209463040105062,1.5231582219459123
4,2022,4108,1519,0.36976630963972734,2.0375126625700686,36.97663096397273
4,2023,4025,400,0.09937888198757763,1.054732999548181,9.937888198757763
4,2024,193,0,0.0,0.53008425593908,0.0
4,2025,891,14,0.015712682379349047,0.8973813887121201,1.5712682379349048
