year,predicted_suitability,observations,total_observations,percentage
2020,Moderate,2868,4226,67.86559394226218
2020,Not Suitable,22,4226,0.5205868433506862
2020,Suitable,1336,4226,31.613819214387128
2021,Moderate,4167,7128,58.45959595959596
2021,Not Suitable,46,7128,0.6453423120089787
2021,Suitable,2915,7128,40.89506172839506
2022,Moderate,2200,5865,37.510656436487636
2022,Not Suitable,244,5865,4.160272804774084
2022,Suitable,3421,5865,58.329070758738276
2023,Moderate,4228,7120,59.38202247191011
2023,Not Suitable,86,7120,1.2078651685393258
2023,Suitable,2806,7120,39.41011235955057
2024,Moderate,1298,2505,51.81636726546907
2024,Suitable,1207,2505,48.18363273453094
2025,Moderate,974,3110,31.318327974276528
2025,Not Suitable,16,3110,0.5144694533762058
2025,Suitable,2120,3110,68.16720257234726
