region_id,year,ml_observations,mean_ml_suitability_score,mean_prediction_confidence,not_suitable_percentage,moderate_percentage,suitable_percentage,MEHI_score,health_category
R_-10_-25,2023,51,62.745098039215684,0.9909980268745302,0.0,74.50980392156863,25.49019607843137,85.04122413343524,Higher relative environmental condition
R_-10_90,2025,74,85.8108108108108,0.9977494721262032,0.0,28.37837837837838,71.62162162162163,86.41415829271334,Higher relative environmental condition
R_-10_95,2025,50,86.0,0.9751397081801549,0.0,28.000000000000004,72.0,86.80429368974376,Higher relative environmental condition
R_-15_90,2025,35,94.28571428571429,0.9795450979098059,0.0,11.428571428571429,88.57142857142857,87.35457589640845,Higher relative environmental condition
R_-15_95,2025,82,89.02439024390245,0.9759429650652115,0.0,21.951219512195124,78.04878048780488,87.41263636098903,Higher relative environmental condition
R_-20_-155,2022,23,89.1304347826087,0.9724458815659607,0.0,21.73913043478261,78.26086956521739,84.64052877200018,Higher relative environmental condition
R_-20_90,2025,85,92.94117647058823,0.989655907741773,0.0,14.117647058823529,85.88235294117646,88.32812762187484,Higher relative environmental condition
R_-20_95,2025,53,93.39622641509433,0.993710763249035,0.0,13.20754716981132,86.79245283018868,88.55142652023504,Higher relative environmental condition
R_-25_-155,2022,48,92.70833333333333,0.9645424432735089,0.0,14.583333333333334,85.41666666666666,86.19465487992873,Higher relative environmental condition
R_-25_90,2025,105,90.95238095238095,0.9819774357377307,0.0,18.095238095238095,81.9047619047619,88.14337481876933,Higher relative environmental condition
R_-25_95,2025,13,69.23076923076923,0.9699919789036009,0.0,61.53846153846154,38.46153846153847,87.00879002151261,Higher relative environmental condition
R_-30_-155,2022,18,97.22222222222223,0.9776957317046318,0.0,5.555555555555555,94.44444444444444,86.91267090306354,Higher relative environmental condition
R_-30_45,2023,49,89.79591836734694,0.993426135018353,0.0,20.408163265306122,79.59183673469387,88.01654354762279,Higher relative environmental condition
R_-30_50,2023,108,91.66666666666667,0.9847243838353639,0.0,16.666666666666664,83.33333333333334,88.49698533501669,Higher relative environmental condition
R_-30_55,2023,54,91.66666666666667,0.9847414683286372,0.0,16.666666666666664,83.33333333333334,88.60049763660764,Higher relative environmental condition
R_-30_60,2023,147,88.0952380952381,0.9836193846283531,0.0,23.809523809523807,76.19047619047619,88.54630293548654,Higher relative environmental condition
R_-30_90,2025,58,93.10344827586206,0.9785223488040997,0.0,13.793103448275861,86.20689655172413,88.36264250898934,Higher relative environmental condition
R_-30_95,2024,24,91.66666666666667,0.9580037212118064,0.0,16.666666666666664,83.33333333333334,89.28902554831126,Higher relative environmental condition
R_-30_95,2025,12,87.5,0.9664278039368082,0.0,25.0,75.0,87.94223869041053,Higher relative environmental condition
R_-35_-150,2022,5,90.0,0.9138951691544133,0.0,20.0,80.0,88.85382587732447,Higher relative environmental condition
R_-35_-155,2022,40,76.25,0.9795918357706375,0.0,47.5,52.5,87.33914384496045,Higher relative environmental condition
